Name,Brand,Condition,ROM,Warranty,Min_Price ($),Max_Price ($),Shipment_Cost ($),Sold_Count
NEW OPEN BOX Motorola Moto G Power 2024,Motorola,Open Box,128GB,0,104.95,104.95,0,215
Apple iPhone 15 Good,Apple,Good - Refurbished,512GB,0,380.86,469.99,0,0
Apple iPhone 14 Pro Deep Purple 90% Battery,Apple,Very Good - Refurbished,256GB,0,399,399,0,0
Google Pixel 8,Google,Excellent - Refurbished,128GB,0,267.99,276.99,0,268
Apple iPhone 14 Pro B Grade,Apple,Very Good - Refurbished,,0,359.99,404.99,0,0
Samsung Galaxy S22 S22 Plus S906U Verizon T Mobile Mint Boost AT&T,Samsung,Excellent - Refurbished,,0,169.99,189.99,0,0
Motorola Moto G 2024 XT2417D Sage Green Smartphone,Motorola,Open Box,128GB,0,84.98,84.98,0,0
New Sealed Samsung Galaxy S21 Plus SM G996U,Samsung,Brand New,128GB,0,195.87,198.47,0,31
Apple iPhone 14 Pro Max 6 7 Black A2651 w 1 Year,Apple,Good - Refurbished,128GB,0,419.32,419.32,0,644
Samsung Galaxy A16 A165M RAM NEW FREE 2 DAY SHIPPING,Samsung,Brand New,128GB,0,133.99,133.99,0,133
New Samsung Galaxy A14 SM A146U Black AT&T & T Mobile,Samsung,Brand New,64GB,0,112.99,112.99,0,765
Apple iPhone 14 6 1 Midnight A2649 w 1 Year,Apple,Good - Refurbished,128GB,0,281,281,0,960
Apple iPhone 12 –,Apple,Very Good - Refurbished,64GB,1 YEAR WARRANTY,190.99,190.99,0,2598
Samsung Galaxy S22 S901U1 25W Super Fast,Samsung,Very Good - Refurbished,128GB,0,161.99,161.99,0,0
Tracfone BLU FLEX 1500 MIN 1500 Text Annual Plan,TracFone,Brand New,,0,49.99,49.99,0,0
SAMSUNG Galaxy A07 EUR Version SM A075F DS BK,Samsung,Brand New,64GB,0,99.87,99.87,0,0
RayHunter IMSI Catcher & Stingray Detector Orbic RC400L Mobile Hotspot,,Brand New,,0,89.99,89.99,0,54
Google Pixel 7 Obsidian,Google,Excellent - Refurbished,256GB,0,189.99,189.99,0,0
35W PD Power Adapter Duo Wall Charger &Cables For Samsung S24 S23 S22 S21 S20 S8,,Brand New,,0,1.45,1.45,0,0
Apple iPhone 13,Apple,Good - Refurbished,128GB,0,240,286,0,236
Samsung Galaxy S22 Gold 256 Good,Samsung,Good - Refurbished,,0,187.11,187.11,0,0
Apple iPhone 15 Plus A2847 Black C,Apple,Pre-Owned,128GB,0,308.87,308.87,0,0
Samsung Galaxy S21 Ultra SM G998U Black,Samsung,Good - Refurbished,128GB,0,219.99,219.99,0,0
NEW Sealed Samsung Galaxy S24 Plus S926U AT&T T Mobile Verizon,Samsung,Brand New,256GB,0,539.65,539.65,0,0
New Other Samsung Galaxy Note 9 N960U T Mobile Verizon Boost AT&T,Samsung,Open Box,,0,180.49,180.49,0,92
Samsung Galaxy S22 Verizon ATT TMobile Metro,Samsung,Excellent - Refurbished,128GB,1 YEAR WARRANTY,169.48,199.48,0,0
Samsung Galaxy S22 Verizon ATT TMobile Metro,Samsung,Excellent - Refurbished,128GB,1 YEAR WARRANTY,169.48,199.48,0,0
Apple iPhone 12 Pro A2341,Apple,Pre-Owned,128GB,1 YEAR WARRANTY,244.89,244.89,0,429
U S Samsung Galaxy S25 FE All Color Grade A,Samsung,Pre-Owned,128GB,0,296.99,314.99,0,0
Samsung Galaxy Note 20 Ultra N986U Straight Talk Verizon T Mobile Mint,Samsung,Excellent - Refurbished,,0,219.99,279.99,0,0
Apple iPhone 16 Pro White Titanium,Apple,Very Good - Refurbished,256GB,0,658.47,658.47,0,0
Apple iPhone 14 Pro,Apple,Good - Refurbished,128GB,0,359,438,0,7
Samsung Galaxy S21 Ultra SM G998U Black,Samsung,Good - Refurbished,128GB,0,219.99,219.99,0,0
NEW Sealed Samsung Galaxy S24 Plus S926U AT&T T Mobile Verizon,Samsung,Brand New,256GB,0,539.65,539.65,0,0
Honor Magic 8 Pro BLACK USA SHIP,Honor,Brand New,1TB,0,1159,1159,0,0
NEW OPEN BOX Samsung Galaxy A36 Black,Samsung,Open Box,128GB,0,195.95,195.95,0,0
New Samsung Galaxy S22 Ultra SM S908U Cellphones,Samsung,Brand New,256GB,0,275.89,328.99,0,0
Apple iPhone 14 Pro With eSIM,Apple,Excellent - Refurbished,128GB,1 Year Warranty,370,370,0,0
